bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,created_at,updated_at,created_by,updated_by,status,comments
,Checkout my map: Version control for fleetwide visual localisation,M. Gadd and P. Newman,,2016,IEEE Abstract,5729--5736,,"This paper is about underpinning long-term operations of fleets of vehicles using visual localisation. In particular it examines ways in which vehicles, considered as independent agents, can share, update and leverage each others' visual experiences in a mutually beneficial way. We draw on our previous work in Experience-based Navigation (EBN) [1], in which a visual map supporting multiple representations of the same place is built, yielding real-time localisation capability for a solitary vehicle. We now consider how any number of such agents might operate in concert via data sharing policies that are germane to the shared task of lifelong localisation. We rapidly construct considerable maps by the conjoining of work distributed to asynchronous processes, and share expertise amongst the team by the selective dispensing of mission-specific map contents. We demonstrate and evaluate our system against 100km of data collected in North Oxford over a period of a month featuring diverse deviation in appearance due to atmospheric, lighting, and structural dynamics. We show that our framework is capable of creating maps in a fraction of the time required by single-agent EBN, with no significant loss in localisation robustness, and is able to furnish robots on real-world forays with maps which require much less storage.",,10.1109/IROS.2016.7759843,,,,Robot sensing systems;Servers;Databases;Visualization;Robustness;Vehicles,,2153-0866,,,,44698.62116,44698.62116,sousarbarb,,Unclassified,
,Autonomous Navigation: Achievements in Complex Environments,M. E. Adams,,2006,IEEE Abstract,nil19--nil19,,"Over the past decade, challenging applications for autonomous robots have been identified, in the areas of servicing crowded, built-up areas, mining, search and rescue operations, underwater exploration and airborne surveillance. Autonomous navigation arguably remains the key enabling issue behind any realistic commercial success in these areas. Consequently, autonomous robotic research has focused on large scale and long term navigation algorithms, sensing technologies, robust sensor data interpretation and map building. The recent breakthroughs which contribute to the success of outdoor field robotics, and remaining fundamental research issues involved, will be the theme of this presentation. The most successful robot navigation algorithms to-date, have been derived from a probabilistic perspective, which takes into account vehicle motion and terrain uncertainty and sensor noise. Over the past decade, an explosion of interest in the estimation of an autonomous robot's location state, and that of its surroundings, known as simultaneous localisation and map building (SLAM), is evident. New algorithms which represent uncertain information based on particle filters and Gaussian mixture models, as well as the more classical Kalman filter based techniques, are advancing the progress of a robot's long term navigation abilities. This has been significantly aided by recently affordable sensor technologies, including GPS and inertial measurement units (IMUs) as well as fast and reliable laser range finders.",,10.1109/ROBIO.2006.340225,,,,Navigation;Robot sensing systems;Surveillance;Large-scale systems;Robustness;Remotely operated vehicles;Uncertainty;Explosions;State estimation;Simultaneous localization and mapping,,,,,,44698.62116,44698.62116,sousarbarb,,Unclassified,
,PHALANX: Expendable projectile sensor networks for planetary exploration,M. Dille and D. Nuch and S. Gupta and S. McCabe and N. Verzic and T. Fong and U. Wong,,2020,IEEE Abstract,1--12,,"Technologies enabling long-term, wide-ranging measurement in hard-to-reach areas are a critical need for planetary science inquiry. Phenomena of interest include flows or variations in volatiles, gas composition or concentration, particulate density, or even simply temperature. Improved measurement of these processes enables understanding of exotic geologies and distributions or correlating indicators of trapped water or biological activity. However, such data is often needed in unsafe areas such as caves, lava tubes, or steep ravines not easily reached by current spacecraft and planetary robots. To address this capability gap, we have developed miniaturized, expendable sensors which can be ballistically lobbed from a robotic rover or static lander - or even dropped during a flyover. These projectiles can perform sensing during flight and after anchoring to terrain features. By augmenting exploration systems with these sensors, we can extend situational awareness, perform long-duration monitoring, and reduce utilization of primary mobility resources, all of which are crucial in surface missions. We call the integrated payload that includes a cold gas launcher, smart projectiles, planning software, network discovery, and science sensing: PHALANX. In this paper, we introduce the mission architecture for PHALANX and describe an exploration concept that pairs projectile sensors with a rover “mothership.” Science use cases explored include reconnaissance using ballistic cameras, volatiles detection, and building timelapse maps of temperature and illumination conditions. Strategies to autonomously coordinate constellations of deployed sensors to self-discover and localize with peer ranging (i.e. a “local GPS”) are summarized, thus providing communications infrastructure beyond-line-of-sight (BLOS) of the rover. Capabilities were demonstrated through both simulation and physical testing with a terrestrial prototype. The approach to developing a terrestrial prototype is discussed, including design of the launching mechanism, projectile optimization, micro-electronics fabrication, and sensor selection. Results from early testing and characterization of commercial-off-the-shelf (COTS) components are reported. Nodes were subjected to successful burn-in tests over 48 hours at full logging duty cycle. Integrated field tests were conducted in the Roverscape, a half-acre planetary analog environment at NASA Ames, where we tested up to 10 sensor nodes simultaneously coordinating with an exploration rover. Ranging accuracy has been demonstrated to be within +/-10cm over 20m using commodity radios when compared to high-resolution laser scanner ground truthing. Evolution of the design, including progressive miniaturization of the electronics and iterated modifications of the enclosure housing for streamlining and optimized radio performance are described. Finally, lessons learned to date, gaps toward eventual flight mission implementation, and continuing future development plans are discussed.",,10.1109/AERO47225.2020.9172595,,,,,,1095-323X,,,,44698.62116,44698.62116,sousarbarb,,Unclassified,
,Appearance-based landmark selection for efficient long-term visual localization,M. Bürki and I. Gilitschenski and E. Stumm and R. Siegwart and J. Nieto,,2016,IEEE Abstract,4137--4143,,"In this paper, we present an online landmark selection method for distributed long-term visual localization systems in bandwidth-constrained environments. Sharing a common map for online localization provides a fleet of autonomous vehicles with the possibility to maintain and access a consistent map source, and therefore reduce redundancy while increasing efficiency. However, connectivity over a mobile network imposes strict bandwidth constraints and thus the need to minimize the amount of exchanged data. The wide range of varying appearance conditions encountered during long-term visual localization offers the potential to reduce data usage by extracting only those visual cues which are relevant at the given time. Motivated by this, we propose an unsupervised method of adaptively selecting landmarks according to how likely these landmarks are to be observable under the prevailing appearance condition. The ranking function this selection is based upon exploits landmark co-observability statistics collected in past traversals through the mapped area. Evaluation is performed over different outdoor environments, large time-scales and varying appearance conditions, including the extreme transition from day-time to night-time, demonstrating that with our appearance-dependent selection method, we can significantly reduce the amount of landmarks used for localization while maintaining or even improving the localization performance.",,10.1109/IROS.2016.7759609,,,,Vehicles;Visualization;Servers;Bandwidth;Robots;Redundancy;Mobile computing,,2153-0866,,,,44698.62116,44698.62116,sousarbarb,,Unclassified,
,Active airborne localisation and exploration in unknown environments using inertial SLAM,M. Bryson and S. Sukkarieh,,2006,IEEE Abstract,13pp.--,,"Future unmanned aerial vehicle (UAV) applications will require high-accuracy localisation in environments in which navigation infrastructure such as the Global Positioning System (GPS) and prior terrain maps may be unavailable or unreliable. In these applications, long-term operation requires the vehicle to build up a spatial map of the environment while simultaneously localising itself within the map, a task known as simultaneous localisation and mapping (SLAM). In the first part of this paper we present an architecture for performing inertial-sensor based SLAM on an aerial vehicle. We demonstrate an on-line path planning scheme that intelligently plans the vehicle's trajectory while exploring unknown terrain in order to maximise the quality of both the resulting SLAM map and localisation estimates necessary for the autonomous control of the UAV. Two important performance properties and their relationship to the dynamic motion and path planning systems on-board the UAV are analysed. Firstly we analyse information-based measures such as entropy. Secondly we perform an observability analysis of inertial SLAM by recasting the algorithms into an indirect error model form. Qualitative knowledge gained from the observability analysis is used to assist in the design of an information-based trajectory planner for the UAV. Results of the online path planning algorithm are presented using a high-fidelity 6-DoF simulation of a UAV during a simulated navigation and mapping task.",,10.1109/AERO.2006.1655801,,,,Simultaneous localization and mapping;Unmanned aerial vehicles;Path planning;Navigation;Global Positioning System;Remotely operated vehicles;Performance analysis;Information analysis;Observability;Terrain mapping;Navigation;Mapping;SLAM;Autonomous Vehicles;Observability,,1095-323X,,,,44698.62116,44698.62116,sousarbarb,,Unclassified,
,3DOF Pedestrian Trajectory Prediction Learned from Long-Term Autonomous Mobile Robot Deployment Data,L. Sun and Z. Yan and S. M. Mellado and M. Hanheide and T. Duckett,,2018,IEEE Abstract,5942--5948,,"This paper presents a novel 3DOF pedestrian trajectory prediction approach for autonomous mobile service robots. While most previously reported methods are based on learning of 2D positions in monocular camera images, our approach uses range-finder sensors to learn and predict 3DOF pose trajectories (i.e. 2D position plus 1D rotation within the world coordinate system). Our approach, T-Pose-LSTM (Temporal 3DOF-Pose Long-Short-Term Memory), is trained using long-term data from real-world robot deployments and aims to learn context-dependent (environment- and time-specific) human activities. Our approach incorporates long-term temporal information (i.e. date and time) with short-term pose observations as input. A sequence-to-sequence LSTM encoder-decoder is trained, which encodes observations into LSTM and then decodes the resulting predictions. On deployment, the approach can perform on-the-fly prediction in real-time. Instead of using manually annotated data, we rely on a robust human detection, tracking and SLAM system, providing us with examples in a global coordinate system. We validate the approach using more than 15 km of pedestrian trajectories recorded in a care home environment over a period of three months. The experiments show that the proposed T-Pose-LSTM model outperforms the state-of-the-art 2D-based method for human trajectory prediction in long-term mobile robot deployments.",,10.1109/ICRA.2018.8461228,,,,Trajectory;Cameras;Robot kinematics;Robot vision systems;Two dimensional displays;Mobile robots,,2577-087X,,,,44698.62116,44698.62116,sousarbarb,,Unclassified,
,Incremental unsupervised topological place discovery,L. Murphy and G. Sibley,,2014,IEEE Abstract,1312--1318,,"This paper describes an online place discovery and recognition engine that fuses information over time to create topologically distinct places. A key motivation is the recognition that a single image may be a poor exemplar of what constitutes a place. Images are not `places' nor are they `documents'. Instead, by treating image-sequences as a multimodal distribution over topics - and by discovering topics incrementally and online - it is possible to both reduce the memory footprint of place recognition systems, and to improve precision and recall. Distinctive key-places are represented by a cluster topics found from the covisibility graph of a relative simultaneous localization and mapping engine - key-places inherently span many images. A dynamic vocabulary of visual words and density based clustering is used to continually estimate a set of visual topics, changes in which drive the place-recognition process. The system is evaluated using an indoor robot sequence, a standard outdoor robot sequence and a long-term sequence from a static camera. Experiments demonstrate qualitatively distinct themes associated with discovered places - from common place types such as `hallway', or `desk-area', to temporal concepts such as `dusk', `dawn' or `mid-day'. Compared to traditional image-based place-recognition, this reduces the information that must be stored without reducing place-recognition performance.",,10.1109/ICRA.2014.6907022,,,,Vocabulary;Visualization;Robots;Semantics;Streaming media;Image recognition;Engines,,1050-4729,,,,44698.62116,44698.62116,sousarbarb,,Unclassified,
,Predictive and adaptive maps for long-term visual navigation in changing environments,L. Halodová and E. Dvo?ráková and F. Majer and T. Vintr and O. M. Mozos and F. Dayoub and T. Krajník,,2019,IEEE Abstract,7033--7039,,"In this paper, we compare different map management techniques for long-term visual navigation in changing environments. In this scenario, the navigation system needs to continuously update and refine its feature map in order to adapt to the environment appearance change. To achieve reliable long-term navigation, the map management techniques have to (i) select features useful for the current navigation task, (ii) remove features that are obsolete, (iii) and add new features from the current camera view to the map. We propose several map management strategies and evaluate their performance with regard to the robot localisation accuracy in long-term teach-and-repeat navigation. Our experiments, performed over three months, indicate that strategies which model cyclic changes of the environment appearance and predict which features are going to be visible at a particular time and location, outperform strategies which do not explicitly model the temporal evolution of the changes.",,10.1109/IROS40897.2019.8967994,,,,,,2153-0866,,,,44698.62116,44698.62116,sousarbarb,,Unclassified,
,MIT Advanced Vehicle Technology Study: Large-Scale Naturalistic Driving Study of Driver Behavior and Interaction With Automation,L. Fridman and D. E. Brown and M. Glazer and W. Angell and S. Dodd and B. Jenik and J. Terwilliger and A. Patsekin and J. Kindelsberger and L. Ding and S. Seaman and A. Mehler and A. Sipperley and A. Pettinato and B. D. Seppelt and L. Angell and B. Mehler and B. Reimer,IEEE Access,2019,IEEE Abstract,102021--102038,7,"Today, and possibly for a long time to come, the full driving task is too complex an activity to be fully formalized as a sensing-acting robotics system that can be explicitly solved through model-based and learning-based approaches in order to achieve full unconstrained vehicle autonomy. Localization, mapping, scene perception, vehicle control, trajectory optimization, and higher-level planning decisions associated with autonomous vehicle development remain full of open challenges. This is especially true for unconstrained, real-world operation where the margin of allowable error is extremely small and the number of edge-cases is extremely large. Until these problems are solved, human beings will remain an integral part of the driving task, monitoring the AI system as it performs anywhere from just over 0% to just under 100% of the driving. The governing objectives of the MIT Advanced Vehicle Technology (MIT-AVT) study are to 1) undertake large-scale real-world driving data collection that includes high-definition video to fuel the development of deep learning-based internal and external perception systems; 2) gain a holistic understanding of how human beings interact with vehicle automation technology by integrating video data with vehicle state data, driver characteristics, mental models, and self-reported experiences with technology; and 3) identify how technology and other factors related to automation adoption and use can be improved in ways that save lives. In pursuing these objectives, we have instrumented 23 Tesla Model S and Model X vehicles, 2 Volvo S90 vehicles, 2 Range Rover Evoque, and 2 Cadillac CT6 vehicles for both long-term (over a year per driver) and medium-term (one month per driver) naturalistic driving data collection. Furthermore, we are continually developing new methods for the analysis of the massive-scale dataset collected from the instrumented vehicle fleet. The recorded data streams include IMU, GPS, and CAN messages, and high-definition video streams of the driver's face, the driver cabin, the forward roadway, and the instrument cluster (on select vehicles). The study is on-going and growing. To date, we have 122 participants, 15610 days of participation, 511638 mi, and 7.1 billion video frames. This paper presents the design of the study, the data collection hardware, the processing of the data, and the computer vision algorithms currently being used to extract actionable knowledge from the data.",,10.1109/ACCESS.2019.2926040,,,,Task analysis;Autonomous vehicles;Automation;Instruments;Roads;Sensors;Artificial intelligence;automation;human factors;autonomous vehicles;human-robot interaction;computer vision;machine learning;neural networks,,2169-3536,,,,44698.62116,44698.62116,sousarbarb,,Unclassified,
,Appearance-Based Loop Closure Detection via Locality-Driven Accurate Motion Field Learning,K. Zhang and X. Jiang and J. Ma,IEEE Transactions on Intelligent Transportation Systems,2022,IEEE Abstract,2350--2365,23,"Loop closure detection (LCD) is of significant importance in simultaneous localization and mapping. It represents the robot’s ability to recognize whether the current surrounding corresponds to a previously observed one. In this paper, we conduct this task in a two-step strategy: candidate frame selection and loop closure verification. The first step aims to search semantically similar images for the query one using features obtained by Key.Net with HardNet. Instead of adopting the traditional Bag-of-Words strategy, we utilize the aggregated selective match kernel to calculate the similarity between images. Subsequently, based on the potential property of motion field in the LCD scene, we propose a novel feature matching method, i.e., exploiting the smoothness prior and learning the motion field for an image pair in a reproducing kernel Hilbert space (RKHS), to implement loop closure verification. Concretely, we formulate the learning problem into a Bayesian framework with latent variables indicating the true/false correspondences and a mixture model accounting for the distribution of data. Furthermore, we propose a locality-driven mechanism to enhance the local relevance of motion vectors and term the algorithm as locality-driven accurate motion field learning (LAL). To satisfy the requirement of efficiency in the LCD task, we use a sparse approximation and search a suboptimal solution for the motion field in the RKHS, termed as LAL*. Extensive experiments are conducted on public datasets for feature matching and LCD tasks. The quantitative results demonstrate the effectiveness of our method over the current state-of-the-art, meanwhile showing its potential for long-term visual localization. The codes of LAL and LAL* are publicly available at https://github.com/KN-Zhang/LAL.",,10.1109/TITS.2021.3086822,,,,Feature extraction;Liquid crystal displays;Visualization;Task analysis;Robots;Simultaneous localization and mapping;Kernel;SLAM;loop closure detection;place recognition;feature matching;autonomous vehicle,,1558-0016,,,,44698.62116,44698.62116,sousarbarb,,Unclassified,
,Obstacle avoidance and path planning for humanoid robots using stereo vision,K. Sabe and M. Fukuchi and J.-S. Gutmann and T. Ohashi and K. Kawamoto and T. Yoshigahara,,2004,IEEE Abstract,592--597Vol.1,1,"This work presents methods for path planning and obstacle avoidance for the humanoid robot QRIO, allowing the robot to autonomously walk around in a home environment. For an autonomous robot, obstacle detection and localization as well as representing them in a map are crucial tasks for the success of the robot. Our approach is based on plane extraction from data captured by a stereo-vision system that has been developed specifically for QRIO. We briefly overview the general software architecture composed of perception, short and long term memory, behavior control, and motion control, and emphasize on our methods for obstacle detection by plane extraction, occupancy grid mapping, and path planning. Experimental results complete the description of our system.",,10.1109/ROBOT.2004.1307213,,,,Path planning;Humanoid robots;Stereo vision;Service robots;Legged locomotion;Robot vision systems;Motion control;Data mining;Mobile robots;Robot sensing systems,,1050-4729,,,,44698.62116,44698.62116,sousarbarb,,Unclassified,
,Model-aided monocular visual-inertial state estimation and dense mapping,K. Qiu and S. Shen,,2017,IEEE Abstract,1783--1789,,"Robust state estimation and real-time dense mapping are two core capabilities for autonomous navigation of mobile robots. Global Navigation Satellite System (GNSS) and visual odometry/SLAM are popular methods for state estimation. However, when working between tall buildings or in indoor environments, GNSS fails due to limited sky view or obstruction from buildings. Visual odometry/SLAM are prone to long-term drifting in the absence of reliable loop closure detection. A state estimation method with global-consistent guarantee is desirable for navigation applications. As for real-time mapping, SLAM methods usually get a sparse map that is not good enough for obstacle avoidance and path-planning, and high-quality dense mapping is often computationally too demanding for mobile devices. Realizing the availability of city-scale 3D models, in this work, we improve our previous work on model-based global localization, and propose a model-aided monocular visual-inertial state estimation and dense mapping solution. We first develop a global-consistent state estimator by fusing visual-inertial odometry with the model-based localization results. Utilizing depth prior from the model, we perform motion stereo with semi-global disparity smoothing. Our dense mapping pipeline is capable of online detection of obstacles that are originally not included in the offline 3D model. Our method runs onboard an embedded computer in real-time. We validate both the state estimation and mapping accuracy in real-world experiments.",,10.1109/IROS.2017.8205992,,,,Solid modeling;Cameras;Three-dimensional displays;Computational modeling;Image edge detection;State estimation;Real-time systems,,2153-0866,,,,44698.62116,44698.62116,sousarbarb,,Unclassified,
,Visual robot localization using compact binary landmarks,K. Ikeda and K. Tanaka,,2010,IEEE Abstract,4397--4403,,"This paper is concerned with the problem of mobile robot localization using a novel compact representation of visual landmarks. With recent progress in lifelong map-learning as well as in information sharing networks, compact representation of a large-size landmark database has become crucial. In this paper, we propose a compact binary code (e.g. 32bit code) landmark representation by employing the semantic hashing technique from web-scale image retrieval. We show how well such a binary representation achieves compactness of a landmark database while maintaining efficiency of the localization system. In our contribution, we investigate the cost-performance, the semantic gap, the saliency evaluation using the presented techniques as well as challenge to further reduce the resources (#bits) per landmark. Experiments using a high-speed car-like robot show promising results.",,10.1109/ROBOT.2010.5509579,,,,Robot localization;Visual databases;Binary codes;Mobile robots;Image databases;Vocabulary;Costs;Image retrieval;Information retrieval;Graphical models,,1050-4729,,,,44698.62116,44698.62116,sousarbarb,,Unclassified,
,Continuous localization in changing environments,K. Graves and W. Adams and A. Schultz,,1997,IEEE Abstract,28--33,,"Continuous localization is a technique that allows a robot to maintain an accurate estimate of its location by performing regular small corrections to its odometry. Continuous localization uses an evidence grid representation, a common representation scheme that is used by other map-dependent processes, such as path planning. Although techniques exist for building evidence grid maps, most are not adaptive to changes in the environment. In this research, we extend the continuous localization technique by adding a learning component. This allows continuous localization to update the long-term map (evidence grid) with current sensor readings. Results show that the addition of the learning behavior to continuous localization allows the system to adapt to changes in its environment without a loss in its ability to remain localized. This system was tested on a Nomad 200 mobile robot.",,10.1109/CIRA.1997.613834,,,,Path planning;Error correction;Mobile robots;Navigation;Computer science;Artificial intelligence;Laboratories;Intelligent robots;State estimation;System testing,,,,,,44698.62116,44698.62116,sousarbarb,,Unclassified,
,Characterising an indoor environment with a mobile robot and uncalibrated stereo,K. B. Sarachik,,1989,IEEE Abstract,984--989vol.2,,"The author shows how it is possible for a mobile robot to exploit the visual information obtained by scanning a room to determine its size and shape, and to orient itself continually within it. The equipment used is a very simple camera setup whose detailed initial configuration is not known but can be deduced as the algorithm runs. The approach does not require any special environment, nor is it sensitive to changes in the physical aspect of the room being inspected such as moved furniture or roaming people. The long-term goal of the project is for the robot to use the information thus acquired in order to build maps of its environment, presumed to be a single floor of an office building, and to localize itself within this framework.<>",,10.1109/ROBOT.1989.100109,,,,Indoor environments;Mobile robots;Cameras;Robot vision systems;Artificial intelligence;Floors;Contracts;Strips;Shape;Robot sensing systems,,,,,,44698.62116,44698.62116,sousarbarb,,Unclassified,
,Sequence-based mapping for probabilistic visual loop-closure detection,K. A. Tsintotas and L. Bampis and S. An and G. F. Fragulis and S. G. Mouroutsos and A. Gasteratos,,2021,IEEE Abstract,1--6,,"During simultaneous localization and mapping, the robot should build a map of its surroundings and simultaneously estimate its pose in the generated map. However, a fundamental task is to detect loops, i.e., previously visited areas, allowing consistent map generation. Moreover, within long-term mapping, every autonomous system needs to address its scalability in terms of storage requirements and database search. In this paper, we present a low-complexity sequence-based visual loop-closure detection pipeline. Our system dynamically segments the traversed route through a feature matching technique in order to define sub-maps. In addition, visual words are generated incrementally for the corresponding sub-maps representation. Comparisons among these sequences-of-images are performed thanks to probabilistic scores originated from a voting scheme. When a candidate sub-map is indicated, global descriptors are utilized for image-to-image pairing. Our evaluation took place on several publicly-available datasets exhibiting the system&#x2019;s low complexity and high recall compared to other state-of-the-art approaches.",,10.1109/IST50367.2021.9651458,,,,Visualization;Vocabulary;Simultaneous localization and mapping;Databases;Pipelines;Probabilistic logic;Feature extraction,,1558-2809,,,,44698.62116,44698.62116,sousarbarb,,Unclassified,
,Monocular Localization in HD Maps by Combining Semantic Segmentation and Distance Transform,J.-H. Pauls and K. Petek and F. Poggenhans and C. Stiller,,2020,IEEE Abstract,4595--4601,,"Easy, yet robust long-term localization is still an open topic in research. Existing approaches require either dense maps, expensive sensors, specialized map features or proprietary detectors.We propose using semantic segmentation on a monocular camera to localize directly in a HD map as used for automated driving. This combines lightweight, yet powerful HD maps with the simplicity of monocular vision and the flexibility of neural networks.The major challenges arising from this combination are data association and robustness against misdetections. Association is solved efficiently by applying distance transform on binary per-class images. This provides not only a fast lookup table for a smooth gradient as needed for pose-graph optimization, but also dynamic association by default.A sliding-window pose graph optimization combines single image detections with vehicle odometry, smoothing results and helping overcome even misclassifications in consecutive frames.Evaluation against a highly accurate 6D visual localization shows that our approach can achieve accuracy levels as required for automated driving, being one of the most lightweight and flexible methods to do so.",,10.1109/IROS45743.2020.9341003,,,,Location awareness;Semantics;Neural networks;Transforms;Cameras;Vehicle dynamics;Optimization,,2153-0866,,,,44698.62116,44698.62116,sousarbarb,,Unclassified,
,BiCamSLAM: Two times mono is more than stereo,J. Sola and A. Monin and M. Devy,,2007,IEEE Abstract,4795--4800,,"This paper is an invitation to use mono-vision techniques on stereo-vision equipped robots. By using monocular algorithms on both cameras, the advantages of mono-vision (bearing-only, with infinity range but no 3D instant information) and stereo-vision (3D information only up to a limited range) naturally add up to provide interesting possibilities, that are here developed and demonstrated using an EKF-based monocular SLAM algorithm. Mainly we obtain: a) fast 3D mapping with long term, absolute angular references; b) great landmark updating flexibility; and c) the possibility of stereo rig extrinsic self-calibration, providing a much more robust and accurate sensor. Experimental results show the pertinence of the proposed ideas, which should be easily exportable (and we encourage to do so) to other, more performing, vision-based SLAM algorithms.",,10.1109/ROBOT.2007.364218,,,,MONOS devices;Simultaneous localization and mapping;Signal processing algorithms;Cameras;Robustness;Robot vision systems;Observability;Robotics and automation;Robot sensing systems;Delay estimation,,1050-4729,,,,44698.62116,44698.62116,sousarbarb,,Unclassified,
,Long-Term Map Maintenance Pipeline for Autonomous Vehicles,J. S. Berrio and S. Worrall and M. Shan and E. Nebot,IEEE Transactions on Intelligent Transportation Systems,2021,IEEE Abstract,1--14,,"For autonomous vehicles to operate persistently in a typical urban environment, it is essential to have high accuracy position information. This requires a mapping and localisation system that can adapt to changes over time. A localisation approach based on a single-survey map will not be suitable for long-term operation as it does not incorporate variations in the environment. In this paper, we present new algorithms to maintain a featured-based map. A map maintenance pipeline is proposed that can continuously update a map with the most relevant features taking advantage of the changes in the surroundings. Our pipeline detects and removes transient features based on their geometrical relationships with the vehicle's pose. Newly identified features became part of a new feature map and are assessed by the pipeline as candidates for the localisation map. By purging out-of-date features and adding newly detected features, we continually update the prior map to more accurately represent the most recent environment. We have validated our approach using the USyd Campus Dataset, which includes more than 18 months of data. The results presented demonstrate that our maintenance pipeline produces a resilient map which can provide sustained localisation performance over time.",,10.1109/TITS.2021.3094485,,,,Feature extraction;Pipelines;Maintenance engineering;Transient analysis;Visualization;Autonomous vehicles;Task analysis;Long-term localisation;feature-based map;map update.,,1558-0016,,,,44698.62116,44698.62116,sousarbarb,,Unclassified,
,Identifying robust landmarks in feature-based maps,J. S. Berrio and J. Ward and S. Worrall and E. Nebot,,2019,IEEE Abstract,1166--1172,,"To operate in an urban environment, an automated vehicle must be capable of accurately estimating its position within a global map reference frame. This is necessary for optimal path planning and safe navigation. To accomplish this over an extended period of time, the global map requires long term maintenance. This includes the addition of newly observable features and the removal of transient features belonging to dynamic objects. The latter is especially important for the long-term use of the map as matching against a map with features that no longer exist can result in incorrect data associations, and consequently erroneous localisation. This paper addresses the problem of removing features from the map that correspond to objects that are no longer observable/present in the environment. This is achieved by assigning a single score which depends on the geometric distribution and characteristics when the features are re-detected (or not) on different occasions. Our approach not only eliminates ephemeral features, but can also be used as a reduction algorithm for highly dense maps. We tested our approach using half a year of weekly drives over the same 500 metre section of road in an urban environment. The results presented demonstrate the validity of the long term approach to map maintenance.",,10.1109/IVS.2019.8814289,,,,Feature extraction;Navigation;Maintenance engineering;Vehicle dynamics;Meters;Reliability;Trajectory,,2642-7214,,,,44698.62116,44698.62116,sousarbarb,,Unclassified,
,Evaluation of Long-term LiDAR Place Recognition,J. Peltomäki and F. Alijani and J. Puura and H. Huttunen and E. Rahtu and J.-K. Kämäräinen,,2021,IEEE Abstract,4487--4492,,"We compare a state-of-the-art deep image retrieval and a deep place recognition method for place recognition using LiDAR data. Place recognition aims to detect previously visited locations and thus provides an important tool for navigation, mapping, and localisation. Experimental comparisons are conducted using challenging outdoor and indoor datasets, Oxford Radar RobotCar and COLD, in the ""long-term"" setting where the test conditions differ substantially from the training and gallery data. Based on our results the image retrieval methods using LiDAR depth images can achieve accurate localization (the single best match recall 80%) within 5.00 m in urban outdoors. In office indoors the comparable accuracy is 50 cm but is more sensitive to changes in the environment.",,10.1109/IROS51168.2021.9636320,,,,Training;Meters;Location awareness;Laser radar;Image recognition;Image retrieval;Radar imaging,,2153-0866,,,,44698.62116,44698.62116,sousarbarb,,Unclassified,
,Martian Fetch: Finding and retrieving sample-tubes on the surface of mars,J. Papon and R. Detry and P. Vieira and S. Brooks and T. Srinivasan and A. Peterson and E. Kulczycki,,2017,IEEE Abstract,1--9,,"Mars Sample Return (MSR) was identified by the 2011 planetary science decadal survey as a high priority long-term goal for NASA. A three-mission campaign concept is currently being investigated. The Mars 2020 rover mission is intended to core and collect samples. These samples will be sealed in tubes and left on the surface for potential return to Earth. In the current MSR campaign concept, a Sample Retrieval and Launch (SRL) mission would collect the sample tubes left by the Mars 2020 rover and load them into a Mars Ascent Vehicle (MAV) to be launched into orbit. The third mission concept involves a spacecraft capturing the samples in Martian orbit and returning them to Earth. This paper focuses on the SRL mission concept to collect the sample tubes, addressing the problem of autonomously detecting, localizing, and grasping sample tubes deposited on the Martian surface. We employ two approaches: The first one is context-based. It would use a high precision map computed from images captured during tube release, to locate the tubes without directly observing them. The second approach directly detects the sample tubes visually and estimates their 6-DoF pose onboard from dense stereo data.",,10.1109/AERO.2017.7943649,,,,Electron tubes;Earth;Cameras;Surface treatment;Rocks;Feature extraction;Orbits,,,,,,44698.62116,44698.62116,sousarbarb,,Unclassified,
,SemanticFusion: Dense 3D semantic mapping with convolutional neural networks,J. McCormac and A. Handa and A. Davison and S. Leutenegger,,2017,IEEE Abstract,4628--4635,,"Ever more robust, accurate and detailed mapping using visual sensing has proven to be an enabling factor for mobile robots across a wide variety of applications. For the next level of robot intelligence and intuitive user interaction, maps need to extend beyond geometry and appearance - they need to contain semantics. We address this challenge by combining Convolutional Neural Networks (CNNs) and a state-of-the-art dense Simultaneous Localization and Mapping (SLAM) system, ElasticFusion, which provides long-term dense correspondences between frames of indoor RGB-D video even during loopy scanning trajectories. These correspondences allow the CNN's semantic predictions from multiple view points to be probabilistically fused into a map. This not only produces a useful semantic 3D map, but we also show on the NYUv2 dataset that fusing multiple predictions leads to an improvement even in the 2D semantic labelling over baseline single frame predictions. We also show that for a smaller reconstruction dataset with larger variation in prediction viewpoint, the improvement over single frame segmentation increases. Our system is efficient enough to allow real-time interactive use at frame-rates of ?25Hz.",,10.1109/ICRA.2017.7989538,,,,Semantics;Simultaneous localization and mapping;Three-dimensional displays;Geometry;Two dimensional displays;Labeling;Cameras,,,,,,44698.62116,44698.62116,sousarbarb,,Unclassified,
