Title,Accession number,Author,Author affiliation,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Publication date,Language,ISSN,ISBN,ISBN13,DOI,Conference name,Conference date,Conference location,CODEN,Country of publication,Document type,Link to ProQuest Dissertations,Abstract,Number of references,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Discipline,Database,Copyright,Data Provider
"Domain-Invariant Similarity Activation Map Contrastive Learning for Retrieval-Based Long-Term Visual Localization","21256418","Hanjiang Hu (1); Hesheng Wang (1); Zhe Liu (2); Weidong Chen (1) ","(1) Shanghai Jiao Tong University, Department of Automation, China (2) University of Cambridge, Department of Computer Science and Technology, United Kingdom ","IEEE/CAA Journal of Automatica Sinica","IEEE/CAA J. Autom. Sin. (USA)","","IEEE","9","2","313-28","2022","English","2329-9266","","","10.1109/JAS.2021.1003907","","","","IJASJC","USA","Journal article (JA)","","Visual localization is a crucial component in the application of mobile robot and autonomous driving. Image retrieval is an efficient and effective technique in image-based localization methods. Due to the drastic variability of environmental conditions, e.g., illumination changes, retrieval-based visual localization is severely affected and becomes a challenging problem. In this work, a general architecture is first formulated probabilistically to extract domain-invariant features through multi-domain image translation. Then, a novel gradient-weighted similarity activation mapping loss (Grad-SAM) is incorporated for finer localization with high accuracy. We also propose a new adaptive triplet loss to boost the contrastive learning of the embedding in a self-supervised manner. The final coarse-to-fine image retrieval pipeline is implemented as the sequential combination of models with and without Grad-SAM loss. Extensive experiments have been conducted to validate the effectiveness of the proposed approach on the CMU-Seasons dataset. The strong generalization ability of our approach is verified with the RobotCar dataset using models pre-trained on urban parts of the CMU-Seasons dataset. Our performance is on par with or even outperforms the state-of-the-art image-based localization baselines in medium or high precision, especially under challenging environments with illumination variance, vegetation, and night-time images. Moreover, real-site experiments have been conducted to validate the efficiency and effectiveness of the coarse-to-fine strategy for localization.",,"feature extraction - image classification - image retrieval - learning (artificial intelligence) - mobile robots - object recognition - SLAM (robots) - unsupervised learning - visual databases","general architecture - domain-invariant features - multidomain image translation - novel gradient-weighted similarity activation mapping loss - finer localization - adaptive triplet loss - coarse-to-fine image retrieval pipeline - Grad-SAM loss - CMU-Seasons dataset - strong generalization ability - RobotCar dataset using models - state-of-the-art image-based localization baselines - night-time images - domain-invariant similarity activation map contrastive learning - retrieval-based long-term - mobile robot - autonomous driving - efficient technique - image-based localization methods - drastic variability - illumination changes - retrieval-based visual localization","B6135 Optical, image and video signal processing - B6135E Image recognition - C5260B Computer vision and image processing techniques - C6160S Spatial and pictorial databases - C7250R Information retrieval techniques - C1140Z Other topics in statistics - C3390C Mobile robots","G05D1/00 - G06T - G06N20/00 - G06F16/00","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2021, The Institution of Engineering and Technology","Engineering Village"
"Lifelong Localization in Semi-Dynamic Environment","21257530","Shifan Zhu (1); Xinyu Zhang (1); Shichun Guo (1); Jun Li (1); Huaping Liu (1) ","(1) Tsinghua University, State Key Laboratory of Automotive Safety and Energy, China ","2021 IEEE International Conference on Robotics and Automation (ICRA)","","","IEEE","","","14389-14395","2021","English","","","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561584","2021 IEEE International Conference on Robotics and Automation (ICRA)","30 May-5 June 2021","Xi'an, China","","","Conference article (CA)","","Mapping and localization in non-static environments are fundamental problems in robotics. Most of previous methods mainly focus on static and highly dynamic objects in the environment, which may suffer from localization failure in semi-dynamic scenarios without considering objects with lower dynamics, such as parked cars and stopped pedestrians. In this paper, we introduce semantic mapping and lifelong localization approaches to recognize semi-dynamic objects in non-static environments. We also propose a generic framework that can integrate mainstream object detection algorithms with mapping and localization algorithms. The mapping method combines an object detection algorithm and a SLAM algorithm to detect semi-dynamic objects and constructs a semantic map that only contains semi-dynamic objects in the environment. During navigation, the localization method can classify observation corresponding to static and non-static objects respectively and evaluate whether those semi-dynamic objects have moved, to reduce the weight of invalid observation and localization fluctuation. Real-world experiments show that the proposed method can improve the localization accuracy of mobile robots in non-static scenarios.",,"mobile robots - object detection - robot vision - SLAM (robots)","lifelong localization - semidynamic environment - nonstatic environments - static objects - highly dynamic objects - localization failure - semidynamic scenarios - lower dynamics - semantic mapping - semidynamic objects - mainstream object detection algorithms - localization algorithms - object detection algorithm - semantic map - localization method - nonstatic objects - invalid observation - localization fluctuation - nonstatic scenarios","B6135 Optical, image and video signal processing - B6140 Signal processing and detection - B0240Z Other topics in statistics - C5260B Computer vision and image processing techniques - C1140Z Other topics in statistics - C3390C Mobile robots - C4130 Interpolation and function approximation (numerical analysis)","G05D1/00 - G06T","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2021, The Institution of Engineering and Technology","Engineering Village"
"Keyframes retrieval for robust long-term visual localization in changing conditions","20587484","Bouaziz, Y. (1); Royer, E. (1); Bresson, G. (2); Dhome, M. (1) ","(1) Clermont Auvergne University, Institut Pascal, France (2) Institut VEDECOM, France ","2021 IEEE 19th World Symposium on Applied Machine Intelligence and Informatics (SAMI)","","","IEEE","","","000093-100","2021","English","","","978-1-7281-8053-3","10.1109/SAMI50585.2021.9378614","2021 IEEE 19th World Symposium on Applied Machine Intelligence and Informatics (SAMI)","21-23 Jan. 2021","Herl'any, Slovakia","","","Conference article (CA)","","Appearance changes are a challenge for visual localization in outdoor environments. Revisiting familiar places but retrieving keyframes that were taken under different environmental condition can result in inaccurate localization. To overcome this difficulty, we propose a localization approach able to take advantage of a visual landmark map composed of N sequences gathered at different times and conditions. During this localization process, we exploit information collected in the beginning of the trajectory to compute a ranking function which will be used in the rest of the trajectory to retrieve from the map the keyframes that maximise the number of matched points. The retrieval depends on the geometric distance between the pose of the keyframe and the current pose of the vehicle, and the similarity of this keyframe with the current environmental condition. The results demonstrate that our approach has significantly improved localization performance in challenging conditions (snow, rain, change of season ...).","25","image matching - image retrieval - mobile robots - robot vision - SLAM (robots) - video signal processing","visual landmark map - environmental condition - localization performance - keyframes retrieval - outdoor environments - robust long-term visual localization approach","B6135 Optical, image and video signal processing - C3390C Mobile robots - C5260B Computer vision and image processing techniques - C5260D Video signal processing - C7250R Information retrieval techniques","G05D1/00 - G06T - G06F16/00","Practical (PRA)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2021, The Institution of Engineering and Technology","Engineering Village"
"Preventing and Correcting Mistakes in Lifelong Mapping","21259668","Banerjee, N. (1); Lisin, D. (1); Albanese, V. (1); Zhu, Z. (1); Lenser, S.R. (1); Shriver, J. (1); Ramaswamy, T. (1); Briggs, J. (1); Fong, P. (1) ","(1) iRobot Corporation, Bedford, MA 01730, United States ","2021 European Conference on Mobile Robots (ECMR)","","","IEEE","","","8 pp.","2021","English","","","978-1-6654-1213-1","10.1109/ECMR50962.2021.9568826","2021 European Conference on Mobile Robots (ECMR)","31 Aug.-3 Sept. 2021","Bonn, Germany","","","Conference article (CA)","","A Graph SLAM system is only as good as the edges in its pose graph. Critical mistakes in the generation of these edges can instantly render a map inconsistent, misleading, and ultimately unusable. For a lifelong mapping system, where the map is updated continuously, avoiding these errors altogether is infeasible. Instead, we propose a system for detection of and recovery from severe errors in edge generation. Our system remedies both edges created by view observations and edges created by an odometry motion model. For observation edges, we pair a novel method for monitoring ambiguous views with an intelligent graph-merging algorithm capable of rejecting a relocalization in progress. For motion edges, we propose a qualitative geometric approach for detecting structural aberrations characteristic of odometry failures. We conclude with an analysis of our results based on an empirical study of thousands of robot runs.",,"computational complexity - distance measurement - graph theory - merging - mobile robots - particle filtering (numerical methods) - robot kinematics - robot vision - SLAM (robots)","Graph SLAM system - pose graph - critical mistakes - map inconsistent - lifelong mapping system - severe errors - edge generation - system remedies - view observations - odometry motion model - observation edges - ambiguous views - intelligent graph-merging algorithm - motion edges","B6135 Optical, image and video signal processing - C5260B Computer vision and image processing techniques - C1140Z Other topics in statistics - C1160 Combinatorial mathematics - C3390C Mobile robots - E2230 Robot and manipulator mechanics","G05D1/00 - G06T","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C); Manufacturing and production engineering (E)","Inspec","Copyright 2022, The Institution of Engineering and Technology","Engineering Village"
"Topographic SLAM Using a Single Terrain Altimeter in GNSS-Restricted Environment","21589128","Junwoo Jang (1); Jinwhan Kim (1) ","(1) Korea Advanced Insititute of Science and Technology, Department of Mechanical Engineering, Korea, Republic of ","IEEE Access","IEEE Access (USA)","","IEEE","10","","10806-10815","2022","English","2169-3536","","","10.1109/ACCESS.2022.3145978","","","","IAECCG","USA","Journal article (JA)","","In a Global Navigation Satellite System (GNSS)-restricted area, a mobile robot navigation system exploits surrounding environment information. For an aerial or underwater vehicle, undulating terrain of a land or seabed surface is a valuable information resource that leads to the development of terrain-referenced navigation (TRN) algorithms. However, due to the vast amount of a vehicle's activity area, surveying all the regions to obtain a high-resolution terrain map is impractical and requires simultaneous localization and mapping (SLAM) as a highly desirable capability. This paper presents a topographic SLAM algorithm using only a single terrain altimeter, which is low-cost, computationally efficient, and sufficiently stable for long-term operation. The proposed rectangular panel map structure and update method enable robust and efficient SLAM. As terrain elevation changes are inherently nonlinear, an extended Kalman filter (EKF)-based SLAM filter is adopted. The feasibility and validity of the proposed algorithm are demonstrated through simulations using terrain elevation data from a real-world undersea environment.","0","altimeters - Kalman filters - mobile robots - navigation - nonlinear filters - satellite navigation - SLAM (robots) - telecommunication control - terrain mapping","single terrain altimeter - GNSS-restricted environment - mobile robot navigation system - environment information - aerial vehicle - underwater vehicle - undulating terrain - valuable information resource - terrain-referenced navigation algorithms - high-resolution terrain map - topographic SLAM algorithm - rectangular panel map structure - terrain elevation changes - extended Kalman filter-based SLAM filter - terrain elevation data - real-world undersea environment - global navigation satellite system-restricted area - TRN algorithms - vehicle activity area - simultaneous localization and mapping - EKF-based SLAM filter","B6330 Radionavigation and direction finding - B7250G Display, recording and indicating instruments - B6140B Filtering methods in signal processing - C3370H Control applications in radio and radar - C3390C Mobile robots - C5260 Digital signal processing","G01C5/00 - G01C21/00 - G01D7/00 - G01D9/00 - G01S - G01S5/02 - G05D1/00 - H04W28/02 - G01S19/00","Practical (PRA)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2022, The Institution of Engineering and Technology","Engineering Village"
"Nonlinear factor recovery for long-term SLAM","15912087","Mazuran, M. (1); Burgard, W. (1); Tipaldi, G.D. (1) ","(1) University of Freiburg, Department of Computer Science, Germany ","International Journal of Robotics Research","Int. J. Robot. Res. (UK)","","SAGE Publications","35","1-3","50-72","Jan.-March 2016","English","0278-3649","","","10.1177/0278364915581629","","","","IJRREL","UK","Journal article (JA)","","For long-term operations, graph-based simultaneous localization and mapping (SLAM) approaches require nodes to be marginalized in order to control the computational cost. In this paper, we present a method to recover a set of nonlinear factors that best represents the marginal distribution in terms of Kullback-Leibler divergence. The proposed method, which we call nonlinear factor recovery (NFR), estimates both the mean and the information matrix of the set of nonlinear factors, where the recovery of the latter is equivalent to solving a convex optimization problem. NFR is able to provide either the dense distribution or a sparse approximation of it. In contrast to previous algorithms, our method does not necessarily require a global linearization point and can be used with any nonlinear measurement function. Moreover, we are not restricted to only using tree-based sparse approximations and binary factors, but we can include any topology and correlations between measurements. Experiments performed on several publicly available datasets demonstrate that our method outperforms the state of the art with respect to the Kullback-Leibler divergence and the sparsity of the solution.","37","approximation theory - convex programming - costing - mobile robots - SLAM (robots) - trees (mathematics)","nonlinear factor recovery - long-term SLAM - graph-based simultaneous localization and mapping approach - computational cost - marginal distribution - Kullback-Leibler divergence - NFR - convex optimization problem - nonlinear measurement function - tree-based sparse approximations - binary factors - mobile robotics","C3390C Mobile robots - C1180 Optimisation techniques - C1160 Combinatorial mathematics - C4130 Interpolation and function approximation (numerical analysis)","G05D1/00","Practical (PRA); Theoretical or Mathematical (THR)","Computers/Control engineering (C)","Inspec","Copyright 2016, The Institution of Engineering and Technology","Engineering Village"
"Collaborative Augmented Reality on Smartphones via Life-long City-scale Maps","20278128","Platinsky, L.; Szabados, M.; Hlasek, F.; Hemsley, R.; Del Pero, L.; Pancik, A.; Baum, B.; Grimmett, H.; Ondruska, P. ",,"2020 IEEE International Symposium on Mixed and Augmented Reality (ISMAR)","","","IEEE Computer Society","","","533-41","2020","English","","","978-1-7281-8508-8","10.1109/ISMAR50242.2020.00081","2020 IEEE International Symposium on Mixed and Augmented Reality (ISMAR)","9-13 Nov. 2020","Porto de Galinhas, Brazil","","","Conference article (CA)","","In this paper we present the first published end-to-end production computer-vision system for powering city-scale shared augmented reality experiences on mobile devices. In doing so we propose a new formulation for an experience-based mapping framework as an effective solution to the key issues of city-scale SLAM scalability, robustness, map updates and all-time all-weather performance required by a production system. Furthermore, we propose an effective way of synchronising SLAM systems to deliver seamless real-time localisation of multiple edge devices at the same time. All this in the presence of network latency and bandwidth limitations. The resulting system is deployed and tested at scale in San Francisco where it delivers AR experiences in a mapped area of several hundred kilometers. To foster further development of this area we offer the data set to the public, constituting the largest of this kind to date.","40","augmented reality - Global Positioning System - groupware - mobile computing - robot vision - SLAM (robots) - smart phones","multiple edge devices - AR experiences - collaborative augmented reality - life-long city-scale maps - city-scale shared augmented reality experiences - mobile devices - experience-based mapping framework - city-scale SLAM scalability - map updates - end-to-end production computer-vision system - all-time all-weather performance - smartphones","B6135 Optical, image and video signal processing - B6330 Radionavigation and direction finding - C6130V Virtual reality - C6190V Mobile, ubiquitous and pervasive computing - C3390 Robotics - C5260B Computer vision and image processing techniques - C6130G Groupware","G01S - G06F9/44 - G06T - G01S19/01 - H04M1/725","Practical (PRA)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2021, The Institution of Engineering and Technology","Engineering Village"
"Lifelong Object Localization in Robotic Applications","20088009","Romero-González, C. (1); Martínez-Gómez, J. (1); García-Varea, I. (1) ","(1) University of Castilla-La Mancha, Campus Univ. s/n, Spain ","Advances in Physical Agents. Proceedings of the 21st International Workshop of Physical Agents (WAF 2020). Advances in Intelligent Systems and Computing (AISC 1285)","","","Springer International Publishing","","","18-29","2021","English","","","978-3-030-62578-8","10.1007/978-3-030-62579-5_2","Advances in Physical Agents. 21st International Workshop of Physical Agents (WAF 2020)","19-20 Nov. 2020","Madrid, Spain","","","Conference article (CA)","","One of the most common tasks in assistive robotics is to find some specific object in a home environment. Usually, this task is tackled by adding the objects of interest to a map of the environment as soon as the objects are detected by the vision system of the robot. However, these maps are usually static, and do not take into account the dynamic nature of a home, where anyone could move an object after the robot has seen it. In this paper, we propose a lifelong system to address this problem. The robot takes into account different possible locations for each object, and chooses the more probable one when it is required. We have designed a probability based system that stores possible locations for each object, and updates the probabilities of past locations based on newer detections.","16","learning (artificial intelligence) - mobile robots - object detection - probability - robot vision","specific object - assistive robotics - common tasks - robotic applications - lifelong object localization - newer detections - probability based system - account different possible locations - lifelong system - vision system - home environment","B6135 Optical, image and video signal processing - C5260B Computer vision and image processing techniques - C5290 Neural computing techniques - C6170K Knowledge engineering techniques - C7140 Medical administration - C7330 Biology and medical computing - C1230L Learning in AI - C3390 Robotics - C3390C Mobile robots","G05D1/00 - G06T - G06N5/04 - G06Q50/22 - G06N20/00 - G16B - G16H10/60","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2020, The Institution of Engineering and Technology","Engineering Village"
"Long-Term Localization With Time Series Map Prediction for Mobile Robots in Dynamic Environments","20778617","Lisai Wang (1); Weidong Chen (1); Jingchuan Wang (1) ","(1) Shanghai Jiao Tong University, Department of Automation, China ","2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","","IEEE","","","7 pp.","2020","English","","","978-1-7281-6212-6","10.1109/IROS45743.2020.9468884","2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","25-29 Oct. 2020","Las Vegas, NV, USA","","","Conference article (CA)","","In many applications of mobile robot, the environment is constantly changing. How to use historical information to analysis environmental changes and generate a map corresponding with current environment is important to achieve high-precision localization. Inspired by predictive mechanism of brain, this paper presents a long-term localization approach named ArmMPU (ARMA-based Map Prediction and Update) based on time series modeling and prediction. Autoregressive moving average model (ARMA), a kind of time series modeling method, is employed for environmental map modeling and prediction, then predicted map and filtered observation are fused to fix the prediction error. The simulation and experiment results show that the proposed method improves long-term localization performance in dynamic environments.","0","autoregressive moving average processes - mobile robots - robot dynamics - time series","prediction error - long-term localization performance - dynamic environments - time series Map Prediction - mobile robot - historical information - high-precision localization - long-term localization approach - ARMA-based Map Prediction - average model - time series modeling method - environmental map modeling","C3390C Mobile robots - C1140T - E2230 Robot and manipulator mechanics - E0210J Statistics","G05D1/00","Practical (PRA); Theoretical or Mathematical (THR)","Computers/Control engineering (C); Manufacturing and production engineering (E)","Inspec","Copyright 2021, The Institution of Engineering and Technology","Engineering Village"
"Edge-SLAM: Edge-Assisted Visual Simultaneous Localization and Mapping","19759361","Ben Ali, A.J. (1); Hashemifar, Z.S. (1); Dantu, K. (1) ","(1) University at Buffalo, Buffalo, NY, United States ","MobiSys '20: Proceedings of the 18th International Conference on Mobile Systems, Applications, and Services","","SIGMOBILE","ACM","","","325-37","15 June 2020","English","","","978-1-45037-954-0","10.1145/3386901.3389033","MobiSys '20: 18th Annual International Conference on Mobile Systems, Applications, and Services","15-19 June 2020","Toronto, ON, Canada","","","Conference article (CA)","","Localization in urban environments is becoming increasingly important and used in tools such as ARCore [11], ARKit [27] and others. One popular mechanism to achieve accurate indoor localization as well as a map of the space is using Visual Simultaneous Localization and Mapping (Visual-SLAM). However, Visual-SLAM is known to be resource-intensive in memory and processing time. Further, some of the operations grow in complexity over time, making it challenging to run on mobile devices continuously. Edge computing provides additional compute and memory resources to mobile devices to allow offloading of some tasks without the large latencies seen when offloading to the cloud. In this paper, we present Edge-SLAM, a system that uses edge computing resources to offload parts of Visual-SLAM. We use ORB-SLAM2 as a prototypical Visual-SLAM system and modify it to a split architecture between the edge and the mobile device. We keep the tracking computation on the mobile device and move the rest of the computation, i.e., local mapping and loop closure, to the edge. We describe the design choices in this effort and implement them in our prototype. Our results show that our split architecture can allow the functioning of the Visual-SLAM system long-term with limited resources without affecting the accuracy of operation. It also keeps the computation and memory cost on the mobile device constant which would allow for deployment of other end applications that use Visual-SLAM.",,"indoor radio - mobile computing - mobile robots - path planning - robot vision - SLAM (robots)","indoor localization - visual simultaneous localization and mapping - processing time - offloading - edge computing resources - ORB-SLAM2 - local mapping - loop closure - mobile device constant - edge-SLAM - visual-SLAM system","B6135 Optical, image and video signal processing - B6250F Mobile radio systems - C3390C Mobile robots - C5260B Computer vision and image processing techniques - C3120C Spatial variables control","G05D1/00 - G05D3/00 - G06T - H04B7/00 - H04B7/26 - H04W - B60W30/095","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2020, The Institution of Engineering and Technology","Engineering Village"
"Towards life-long mapping of dynamic environments using temporal persistence modeling","20592293","Tsamis, G. (1); Kostavelis, I. (1); Giakoumis, D. (1); Tzovaras, D. (1) ","(1) Informations Technologies Institute, Centre for Research and Technology Hellas, 6th Km Charilaou-Thermi Road, Greece ","2020 25th International Conference on Pattern Recognition (ICPR)","","","IEEE","","","10480-5","2020","English","","","978-1-7281-8808-9","10.1109/ICPR48806.2021.9413161","2020 25th International Conference on Pattern Recognition (ICPR)","10-15 Jan. 2021","Milan, Italy","","","Conference article (CA)","","The contemporary SLAM mapping systems assume a static environment and build a map that is then used for mobile robot navigation disregarding the dynamic changes in this environment. The paper at hand presents a novel solution for the problem of life-long mapping that continually updates a metric map represented as a 2D occupancy grid in large scale indoor environments with movable objects such as people, robots, objects etc. suitable for industrial applications. We formalize each cell's occupancy as a failure analysis problem and contribute temporal persistence modeling (TPM), an algorithm for probabilistic prediction of the time that a cell in an observed location is expected to be “occupied” or “empty” given sparse prior observations from a task specific mobile robot. Our work is evaluated in Gazebo simulation environment against the nominal occupancy of cells and the estimated obstacles persistence. We also show that robot navigation with life-long mapping demands less replans and leads to more efficient navigation in highly dynamic environments.","18","collision avoidance - control engineering computing - failure analysis - mobile robots - path planning - robot vision - SLAM (robots)","scale indoor environments - movable objects - failure analysis problem - temporal persistence modeling - task specific mobile robot - Gazebo simulation environment - estimated obstacles persistence - life-long mapping demands less replans - highly dynamic environments - contemporary SLAM mapping systems - static environment - mobile robot navigation - dynamic changes - metric map - 2D occupancy grid","B6135 Optical, image and video signal processing - C3390C Mobile robots - C3390T Telerobotics - C5260B Computer vision and image processing techniques - C7420 Control engineering computing - C1180 Optimisation techniques - C3120C Spatial variables control","B60W30/08 - G05B15/00 - G05D1/00 - G05D3/00 - G06T - G08G - B60W30/095","Practical (PRA)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2021, The Institution of Engineering and Technology","Engineering Village"
"Map Management for Efficient Long-Term Visual Localization in Outdoor Environments","18167959","Burki, M. (1); Dymczyk, M. (1); Gilitschenski, I. (1); Cadena, C. (1); Siegwart, R. (1); Nieto, J. (1) ","(1) ETH Zurich, Autonomous Systems Lab, Swaziland ","2018 IEEE Intelligent Vehicles Symposium (IV)","","","IEEE","","","682-8","2018","English","","","978-1-5386-4452-2","10.1109/IVS.2018.8500432","2018 IEEE Intelligent Vehicles Symposium (IV)","26-30 June 2018","Changshu, China","","","Conference article (CA)","","We present a complete map management process for a visual localization system designed for multi-vehicle long-term operations in resource constrained outdoor environments. Outdoor visual localization generates large amounts of data that need to be incorporated into a lifelong visual map in order to allow localization at all times and under all appearance conditions. Processing these large quantities of data is non-trivial, as it is subject to limited computational and storage capabilities both on the vehicle and on the mapping backend. We address this problem with a two-fold map update paradigm capable of, either, adding new visual cues to the map, or updating co-observation statistics. The former, in combination with offline map summarization techniques, allows enhancing the appearance coverage of the lifelong map while keeping the map size limited. On the other hand, the latter is able to significantly boost the appearance-based landmark selection for efficient online localization without incurring any additional computational or storage burden. Our evaluation in challenging outdoor conditions shows that our proposed map management process allows building and maintaining maps for precise visual localization over long time spans in a tractable and scalable fashion.","22","automobiles - mobile robots - path planning - robot vision - SLAM (robots)","appearance-based landmark selection - visual localization system - multivehicle long-term operations - resource constrained outdoor environments - outdoor visual localization - lifelong visual map - appearance conditions - mapping backend - two-fold map update paradigm - visual cues - offline map summarization techniques - appearance coverage - long-term visual localization - map management process - autonomous cars","B6135 Optical, image and video signal processing - C3360B Road-traffic system control - C3390C Mobile robots - C5260B Computer vision and image processing techniques - C3120C Spatial variables control","B60W - B62D - G05D1/00 - G05D3/00 - G06T - G08G1/00 - B60W30/095","Practical (PRA)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2018, The Institution of Engineering and Technology","Engineering Village"
"SLAM using LTE Multipath Component Delays","19732479","Junshi Chen (1); Meifang Zhu (1); Tufvesson, F. (1) ","(1) Lund University, Dept. of Electrical and Information Technology, Sweden ","2020 IEEE 91st Vehicular Technology Conference (VTC2020-Spring)","","","IEEE","","","5 pp.","2020","English","","","978-1-7281-5207-3","10.1109/VTC2020-Spring48590.2020.9128437","2020 IEEE 91st Vehicular Technology Conference (VTC2020)","25-28 May 2020","Antwerp, Belgium","","","Conference article (CA)","","Cellular radio based localization can be an important complement or alternative to other localization technologies, as base stations continuously transmit signals of opportunity with beneficial positioning properties. In this paper, we use the long term evolution (LTE) cell-specific reference signal for this purpose. The multipath component delays are estimated by the ESPRIT algorithm, and the estimated multipath component delays of different snapshots are associated by global nearest neighbor with a Kalman filter. Rao-Blackwellized particle filter based simultaneous localization and mapping (SLAM) is then applied to estimate the position of user equipment and that of the base station and virtual transmitters. In a measurement campaign, data from one base station was logged, and the analysis based on the data shows that, at the end of the measurement, the SLAM performance is 11 meters better than that with only inertial measurement unit (IMU).","13","cellular radio - delay estimation - direction-of-arrival estimation - indoor radio - Kalman filters - Long Term Evolution - mobile robots - multipath channels - particle filtering (numerical methods) - SLAM (robots)","SLAM performance - base station - Rao-Blackwellized particle filter - Kalman filter - global nearest neighbor - different snapshots - estimated multipath component delays - ESPRIT algorithm - long term evolution cell-specific reference signal - beneficial positioning properties - localization technologies - important complement - cellular radio based localization - LTE multipath component delays","B6250F Mobile radio systems - B0240Z Other topics in statistics - B6140B Filtering methods in signal processing","H04B7/00 - H04B7/26 - H04W","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B)","Inspec","Copyright 2020, The Institution of Engineering and Technology","Engineering Village"
"A Geodetic Normal Distribution Map for Long-Term LiDAR Localization on Earth","20322850","Chansoo Kim (1); Sungjin Cho (1); Myoungho Sunwoo (1); Resende, P. (2); Bradai, B. (2); Kichun Jo (3) ","(1) Hanyang University, Department of Automotive Engineering, Korea, Republic of (2) Valeo Driving Assistance Research Center, France (3) Konkuk University, Department of Smart Vehicle Engineering, Korea, Republic of ","IEEE Access","IEEE Access (USA)","","IEEE","9","","470-84","2021","English","2169-3536","","","10.1109/ACCESS.2020.3047421","","","","IAECCG","USA","Journal article (JA)","","Light detection and ranging (LiDAR) sensors enable a vehicle to estimate a pose by matching their measurements with a point cloud (PCD) map. However, the PCD map structure, widely used in robot fields, has some problems to be applied for mass production in automotive fields. First, the PCD map is too big to store all map data at in-vehicle units or download the map data from a wireless network according to the vehicle location. Second, the PCD map, represented by a single origin in the Cartesian coordinates, causes coordinate conversion errors due to an inaccurate plane-orb projection, when the vehicle estimate the geodetic pose on Earth. To solve two problems, this paper presents a geodetic normal distribution (GND) map structure. The GND map structure supports a geodetic quad-tree tiling system with multiple origins to minimize the coordinate conversion errors. The map data managed by the GND map structure are compressed by using Cartesian probabilistic distributions of points as map features. The truncation errors by heterogeneous coordinates between the geodetic tiling system and Cartesian distributions are compensated by the Cartesian voxelization rule. In order to match the LiDAR measurements with the GND map structure, the paper proposes map-matching approaches based on Monte-Carlo and optimization. The paper performed some experiments to evaluate the map size compression and the long-term localization on Earth: comparison with the PCD map structure, localization in various continents, and long-term localization.","53","cartography - Monte Carlo methods - optical radar - optimisation - pose estimation","map size compression - PCD map structure - long-term LiDAR localization - point cloud map - map data - geodetic normal distribution map structure - GND map structure - geodetic quad-tree tiling system - map-matching approaches - light detection and ranging sensors - LiDAR sensors - Cartesian voxelization rule","B6320C Optical radar - B6135E Image recognition - B0240G Monte Carlo methods - B0260 Optimisation techniques - C7840 Geography and cartography computing - C1180 Optimisation techniques - C5260B Computer vision and image processing techniques - C1140G Monte Carlo methods","G01S17/00 - G06K9/00 - G06T","Bibliography (BIB); Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2021, The Institution of Engineering and Technology","Engineering Village"
